Fecha,TipoDePrueba,Plataforma,Usuario,status
24/11/2025,Grupos,Gatito,NoQuique,Paso
20/11/2025,Grupos,Gatito,NoQuique,Paso
04/12/2025,Grupos,Gatito,NoQuique,Paso
11/12/2025,Grupos,Gatito,Quique,Paso
01/12/2025,Grupos,Gatito,Quique,Paso
02/12/2025,Grupos,Gatito,Quique,Paso
03/12/2025,Grupos,Gatito,NoQuique,Paso
21/11/2025,Grupos,Joya,NoQuique,Fallo
26/11/2025,Grupos,Joya,NoQuique,Paso
12/12/2025,Grupos,Joya,NoQuique,Paso
21/11/2025,Grupos,Gatito,Quique,Paso
03/12/2025,Grupos,Gatito,Quique,Paso
24/11/2025,Grupos,Gatito,NoQuique,Paso
04/12/2025,Grupos,Joya,Quique,Fallo
09/12/2025,Grupos,Gatito,Quique,Fallo
10/12/2025,Grupos,Joya,Quique,Paso
05/12/2025,Grupos,Joya,NoQuique,Paso
19/11/2025,Grupos,Joya,Quique,Paso
01/12/2025,Grupos,Joya,NoQuique,Paso
12/12/2025,Grupos,Joya,Quique,Paso
08/12/2025,Grupos,Joya,NoQuique,Paso
22/11/2025,Grupos,Gatito,NoQuique,Paso
20/11/2025,Grupos,Gatito,NoQuique,Paso
02/12/2025,Grupos,Gatito,NoQuique,Fallo
02/12/2025,Grupos,Gatito,Quique,Paso
04/12/2025,Grupos,Joya,Quique,Fallo
03/12/2025,Grupos,Joya,NoQuique,Paso
27/11/2025,Grupos,Joya,Quique,Paso
11/12/2025,Grupos,Gatito,Quique,Paso
19/11/2025,Grupos,Joya,Quique,Fallo
26/11/2025,Grupos,Gatito,NoQuique,Paso
23/11/2025,Grupos,Joya,NoQuique,Paso
12/12/2025,Grupos,Joya,NoQuique,Fallo
08/12/2025,Grupos,Joya,Quique,Paso
01/12/2025,Grupos,Gatito,Quique,Paso
28/11/2025,Grupos,Gatito,Quique,Fallo
24/11/2025,Grupos,Joya,Quique,Paso
26/11/2025,Grupos,Gatito,Quique,Paso
28/11/2025,Grupos,Gatito,NoQuique,Fallo
04/12/2025,Grupos,Joya,NoQuique,Paso
20/11/2025,Grupos,Joya,NoQuique,Paso
05/12/2025,Grupos,Gatito,NoQuique,Paso
06/12/2025,Grupos,Joya,NoQuique,Paso
21/11/2025,Grupos,Joya,NoQuique,Paso
20/11/2025,Grupos,Gatito,Quique,Paso
08/12/2025,Grupos,Gatito,NoQuique,Fallo
02/12/2025,Grupos,Gatito,Quique,Fallo
15/12/2025,Grupos,Joya,NoQuique,Paso
03/12/2025,Grupos,Joya,NoQuique,Paso
08/12/2025,Grupos,Joya,Quique,Paso
26/11/2025,Grupos,Gatito,NoQuique,Paso
11/12/2025,Grupos,Gatito,Quique,Paso
05/12/2025,Grupos,Gatito,NoQuique,Paso
13/12/2025,Grupos,Joya,NoQuique,Paso
05/12/2025,Grupos,Gatito,Quique,Paso
12/12/2025,Grupos,Joya,NoQuique,Paso
05/12/2025,Grupos,Gatito,Quique,Paso
07/12/2025,Grupos,Gatito,Quique,Paso
24/11/2025,Grupos,Joya,NoQuique,Paso
24/11/2025,Grupos,Gatito,Quique,Paso
19/11/2025,Grupos,Joya,NoQuique,Paso
03/12/2025,Grupos,Joya,NoQuique,Paso
01/12/2025,Grupos,Joya,Quique,Paso
18/11/2025,Grupos,Joya,NoQuique,Paso
21/11/2025,Grupos,Joya,Quique,Paso
29/11/2025,Grupos,Gatito,NoQuique,Fallo
15/12/2025,Grupos,Gatito,NoQuique,Paso
24/11/2025,Grupos,Joya,Quique,Fallo
08/12/2025,Grupos,Gatito,Quique,Paso
23/11/2025,Grupos,Gatito,NoQuique,Paso
29/11/2025,Grupos,Joya,Quique,Fallo
29/11/2025,Grupos,Gatito,NoQuique,Paso
23/11/2025,Grupos,Gatito,NoQuique,Paso
07/12/2025,Grupos,Gatito,Quique,Fallo
12/12/2025,Grupos,Joya,NoQuique,Paso
22/11/2025,Grupos,Joya,NoQuique,Paso
25/11/2025,Grupos,Joya,NoQuique,Paso
23/11/2025,Grupos,Joya,Quique,Paso
14/12/2025,Grupos,Gatito,NoQuique,Fallo
15/12/2025,Grupos,Joya,Quique,Paso
16/11/2025,Grupos,Gatito,NoQuique,Paso
25/11/2025,Grupos,Gatito,Quique,Paso
03/12/2025,Grupos,Gatito,NoQuique,Fallo
01/12/2025,Grupos,Gatito,Quique,Fallo
11/12/2025,Grupos,Gatito,NoQuique,Paso
17/11/2025,Grupos,Gatito,Quique,Fallo
03/12/2025,Grupos,Joya,NoQuique,Fallo
11/12/2025,Grupos,Joya,NoQuique,Fallo
17/11/2025,Grupos,Gatito,Quique,Paso
27/11/2025,Grupos,Joya,Quique,Paso
01/12/2025,Grupos,Joya,NoQuique,Paso
26/11/2025,Grupos,Gatito,Quique,Fallo
17/11/2025,Grupos,Gatito,NoQuique,Fallo
02/12/2025,Grupos,Joya,NoQuique,Paso
03/12/2025,Grupos,Gatito,Quique,Paso
11/12/2025,Grupos,Gatito,Quique,Paso
26/11/2025,Grupos,Gatito,Quique,Paso
12/12/2025,Grupos,Joya,NoQuique,Fallo
10/12/2025,Grupos,Gatito,Quique,Fallo
07/12/2025,Grupos,Gatito,NoQuique,Paso
23/11/2025,MultiplesGrupos,Gatito,NoQuique,Paso
02/12/2025,MultiplesGrupos,Joya,Quique,Paso
02/12/2025,MultiplesGrupos,Joya,NoQuique,Paso
24/11/2025,MultiplesGrupos,Joya,Quique,Fallo
23/11/2025,MultiplesGrupos,Gatito,NoQuique,Paso
25/11/2025,MultiplesGrupos,Joya,Quique,Fallo
13/12/2025,MultiplesGrupos,Gatito,NoQuique,Paso
18/11/2025,MultiplesGrupos,Joya,NoQuique,Paso
24/11/2025,MultiplesGrupos,Joya,NoQuique,Paso
21/11/2025,MultiplesGrupos,Joya,NoQuique,Paso
15/12/2025,MultiplesGrupos,Joya,NoQuique,Paso
23/11/2025,MultiplesGrupos,Joya,NoQuique,Paso
